PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S)
Benign neoplasm of eye and adnexa,eye adnexa disease,Good,EFO_0009546
Benign neoplasm of eye and adnexa (other cancers excluded from controls),eye adnexa disease,Good,EFO_0009546
Benign neoplasm of other and unspecified female genital organs,lipoma,Medium,EFO_0000759
Benign neoplasm of other and unspecified female genital organs,lip cancer,Medium,EFO_1001019
Benign neoplasm of other and unspecified female genital organs (other cancers excluded from controls),lipoma,Medium,EFO_0000759
Benign neoplasm of other and unspecified female genital organs (other cancers excluded from controls),lip cancer,Medium,EFO_1001019
"Haemangioma and lymphangioma, any site",N/A,Did not map,N/A
"Haemangioma and lymphangioma, any site (other cancers excluded from controls)",N/A,Did not map,N/A
"Haemangioma, any site",site,Medium,BFO_0000029
"Haemangioma, any site",epithelioid hemangioma,Medium,MONDO_0021169
"Haemangioma, any site (other cancers excluded from controls)",site,Medium,BFO_0000029
"Haemangioma, any site (other cancers excluded from controls)",epithelioid hemangioma,Medium,MONDO_0021169
Benign neoplasm: Kidney,Benign Kidney Neoplasm,Good,EFO_1000111
Benign neoplasm: Kidney (other cancers excluded from controls),Benign Kidney Neoplasm,Good,EFO_1000111
Benign neoplasm: Larynx,benign neoplasm,Good,EFO_0002422
Benign neoplasm: Larynx (other cancers excluded from controls),laryngeal neoplasm,Good,EFO_0003817
Leiomyoma of uterus,uterine fibroid,Medium,EFO_0000731
Leiomyoma of uterus,renal leiomyoma,Medium,EFO_1000050
Leiomyoma of uterus (other cancers excluded from controls),uterine fibroid,Medium,EFO_0000731
Leiomyoma of uterus (other cancers excluded from controls),renal leiomyoma,Medium,EFO_1000050
Benign neoplasm: Lip,benign neoplasm of lip,Medium,MONDO_0021496
Benign neoplasm: Lip,lip neoplasm,Medium,MONDO_0021249
Benign lipomatous neoplasm,benign lipomatous neoplasm,Good,MONDO_0044983
Benign lipomatous neoplasm (other cancers excluded from controls),benign lipomatous neoplasm,Medium,MONDO_0044983
Benign lipomatous neoplasm (other cancers excluded from controls),lipomatous cancer,Medium,MONDO_0002813
Benign lipomatous neoplasm of other sites/unspecified,lipoma,Good,EFO_0000759
Benign lipomatous neoplasm of other sites/unspecified (other cancers excluded from controls),lipoma,Good,EFO_0000759
"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck",N/A,Did not map,N/A
"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck (other cancers excluded from controls)",N/A,Did not map,N/A
Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,lipoma,Good,EFO_0000759
Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs (other cancers excluded from controls),lipoma,Good,EFO_0000759
Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,lipoma,Good,EFO_0000759
Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk (other cancers excluded from controls),lipoma,Good,EFO_0000759
Benign neoplasm: Lip (other cancers excluded from controls),lip cancer,Good,EFO_1001019
Benign neoplasm: Liver,benign neoplasm,Medium,EFO_0002422
Benign neoplasm: Liver,liver neoplasm,Medium,EFO_1001513
Benign neoplasm: Liver (other cancers excluded from controls),liver neoplasm,Medium,EFO_1001513
Benign neoplasm: Liver (other cancers excluded from controls),benign neoplasm,Medium,EFO_0002422
Benign neoplasm: Liver/bile ducts,liver neoplasm,Good,EFO_1001513
Benign neoplasm: Liver/bile ducts (other cancers excluded from controls),liver neoplasm,Good,EFO_1001513
Benign neoplasm of male genital organs,male reproductive organ cancer,Good,EFO_0007355
Benign neoplasm of male genital organs (other cancers excluded from controls),male reproductive organ cancer,Good,EFO_0007355
Melanocytic naevi,melanocytic nevus,Good,EFO_0009675
Melanocytic naevi (other cancers excluded from controls),melanocytic nevus,Good,EFO_0009675
"Melanocytic naevi of eyelid, including canthus",Palpebral nevus,Medium,Orphanet_98588
"Melanocytic naevi of eyelid, including canthus",Malposition of external canthus,Medium,Orphanet_98576
"Melanocytic naevi of eyelid, including canthus (other cancers excluded from controls)",Palpebral nevus,Medium,Orphanet_98588
"Melanocytic naevi of eyelid, including canthus (other cancers excluded from controls)",Malposition of external canthus,Medium,Orphanet_98576
Melanocytic naevi of other and unspecified parts of face,cutaneous melanoma,Medium,EFO_0000389
Melanocytic naevi of other and unspecified parts of face,schizophrenia,Medium,EFO_0000692
Melanocytic naevi of other and unspecified parts of face (other cancers excluded from controls),cutaneous melanoma,Medium,EFO_0000389
Melanocytic naevi of other and unspecified parts of face (other cancers excluded from controls),schizophrenia,Medium,EFO_0000692
Melanocytic naevi of lip,melanocytic nevus,Good,EFO_0009675
Melanocytic naevi of lip (other cancers excluded from controls),lip cancer,Medium,EFO_1001019
Melanocytic naevi of lip (other cancers excluded from controls),melanocytic nevus,Medium,EFO_0009675
"Melanocytic naevi of lower limb, including hip",lower extremity fracture,Medium,EFO_0009512
"Melanocytic naevi of lower limb, including hip",ulcer of lower limb,Medium,EFO_0007068
"Melanocytic naevi of lower limb, including hip (other cancers excluded from controls)",ulcer of lower limb,Medium,EFO_0007068
"Melanocytic naevi of lower limb, including hip (other cancers excluded from controls)",lower extremity fracture,Medium,EFO_0009512
"Melanocytic naevi, other sites/unspecified",endometriosis,Medium,EFO_0001065
"Melanocytic naevi, other sites/unspecified",lipoma,Medium,EFO_0000759
"Melanocytic naevi, other sites/unspecified (other cancers excluded from controls)",endometriosis,Medium,EFO_0001065
"Melanocytic naevi, other sites/unspecified (other cancers excluded from controls)",lipoma,Medium,EFO_0000759
Melanocytic naevi of scalp and neck,cutaneous melanoma,Good,EFO_0000389
Melanocytic naevi of scalp and neck (other cancers excluded from controls),cutaneous melanoma,Good,EFO_0000389
Melanocytic naevi of trunk,melanocytic nevus,Good,EFO_0009675
Melanocytic naevi of trunk (other cancers excluded from controls),melanocytic nevus,Good,EFO_0009675
"Melanocytic naevi of upper limb, including shoulder",upper extremity fracture,Good,EFO_0009514
"Melanocytic naevi of upper limb, including shoulder (other cancers excluded from controls)",upper extremity fracture,Good,EFO_0009514
Benign neoplasm of meninges,meningeal neoplasm,Good,EFO_0003851
Benign neoplasm: Cerebral meninges,Benign Childhood Cerebral Neoplasm,Medium,EFO_1000109
Benign neoplasm: Cerebral meninges,meningeal neoplasm,Medium,EFO_0003851
Benign neoplasm: Cerebral meninges (other cancers excluded from controls),Benign Childhood Cerebral Neoplasm,Medium,EFO_1000109
Benign neoplasm: Cerebral meninges (other cancers excluded from controls),meningeal neoplasm,Medium,EFO_0003851
Benign neoplasm of meninges (other cancers excluded from controls),meningeal neoplasm,Good,EFO_0003851
"Beningn neoplasm: Meninges, unspecified",neoplasm,Good,EFO_0000616
"Beningn neoplasm: Meninges, unspecified (other cancers excluded from controls)",meningeal neoplasm,Good,EFO_0003851
Benign neoplasm: Other and unspecified parts of mouth,lipoma,Medium,EFO_0000759
Benign neoplasm: Other and unspecified parts of mouth,lip cancer,Medium,EFO_1001019
Benign neoplasm: Other and unspecified parts of mouth (other cancers excluded from controls),lipoma,Medium,EFO_0000759
Benign neoplasm: Other and unspecified parts of mouth (other cancers excluded from controls),lip cancer,Medium,EFO_1001019
Benign neoplasm of mouth and pharynx,N/A,Did not map,N/A
Benign neoplasm of mouth and pharynx (other cancers excluded from controls),N/A,Did not map,N/A
Benign neoplasm: Other/unspecified site,neoplasm,Medium,EFO_0000616
Benign neoplasm: Other/unspecified site,lipoma,Medium,EFO_0000759
Benign neoplasm: Other/unspecified site (other cancers excluded from controls),lipoma,Medium,EFO_0000759
Benign neoplasm: Other/unspecified site (other cancers excluded from controls),neoplasm,Medium,EFO_0000616
Benign neoplasm: Oesophagus,benign neoplasm,Good,EFO_0002422
Benign neoplasm: Oesophagus (other cancers excluded from controls),benign neoplasm,Medium,EFO_0002422
Benign neoplasm: Oesophagus (other cancers excluded from controls),meningeal neoplasm,Medium,EFO_0003851
Benign neoplasm of other and ill-defined parts of digestive system,cardiovascular disease,Medium,EFO_0000319
Benign neoplasm of other and ill-defined parts of digestive system,hypopharynx cancer,Medium,EFO_0007321
Benign neoplasm of other and ill-defined parts of digestive system (other cancers excluded from controls),cardiovascular disease,Medium,EFO_0000319
Benign neoplasm of other and ill-defined parts of digestive system (other cancers excluded from controls),hypopharynx cancer,Medium,EFO_0007321
Benign neoplasm of other and unspecified sites,lipoma,Medium,EFO_0000759
Benign neoplasm of other and unspecified sites,lip cancer,Medium,EFO_1001019
Benign neoplasm of other and unspecified sites (other cancers excluded from controls),lipoma,Medium,EFO_0000759
Benign neoplasm of other and unspecified sites (other cancers excluded from controls),lip cancer,Medium,EFO_1001019
Benign neoplasm of ovary,ovarian benign neoplasm,Good,MONDO_0000646
Benign neoplasm of ovary (other cancers excluded from controls),ovarian benign neoplasm,Medium,MONDO_0000646
Benign neoplasm of ovary (other cancers excluded from controls),benign ovarian sex cord-stromal tumor,Medium,MONDO_0024387
Benign neoplasm: Pancreas,benign neoplasm,Good,EFO_0002422
Benign neoplasm: Pancreas (other cancers excluded from controls),benign neoplasm,Good,EFO_0002422
Benign neoplasm: Parotid gland,parotid neoplasm,Good,EFO_0003873
Benign neoplasm: Parotid gland (other cancers excluded from controls),parotid neoplasm,Good,EFO_0003873
Benign neoplasm: Peripheral nerves and autonomic nervous system,N/A,Did not map,N/A
Benign neoplasm: Peripheral nerves and autonomic nervous system (other cancers excluded from controls),N/A,Did not map,N/A
"Benign neoplasm: Pituitary gland, craniopharyngeal duct",benign neoplasm of pituitary gland,Medium,MONDO_0021439
"Benign neoplasm: Pituitary gland, craniopharyngeal duct",posterior pituitary gland neoplasm,Medium,MONDO_0003257
"Benign neoplasm: Pituitary gland, craniopharyngeal duct (other cancers excluded from controls)",benign neoplasm of pituitary gland,Medium,MONDO_0021439
"Benign neoplasm: Pituitary gland, craniopharyngeal duct (other cancers excluded from controls)",posterior pituitary gland neoplasm,Medium,MONDO_0003257
Benign neoplasm: Rectosigmoid junction,benign neoplasm,Good,EFO_0002422
Benign neoplasm: Rectosigmoid junction (other cancers excluded from controls),benign neoplasm,Good,EFO_0002422
Benign neoplasm: Rectum,benign neoplasm of rectum,Medium,MONDO_0021462
Benign neoplasm: Rectum,rectal neoplasm,Medium,MONDO_0002165
"Benign neoplasm: Rectum, anus and anal canal",anal neoplasm,Good,EFO_0003835
Benign neoplasm: Rectum/anal canal icd-9,benign neoplasm of rectum,Medium,MONDO_0021462
Benign neoplasm: Rectum/anal canal icd-9,benign neoplasm of anus,Medium,MONDO_0021469
Benign neoplasm: Rectum/anal canal icd-9 (other cancers excluded from controls),benign neoplasm of rectum,Medium,MONDO_0021462
Benign neoplasm: Rectum/anal canal icd-9 (other cancers excluded from controls),benign neoplasm of anus,Medium,MONDO_0021469
"Benign neoplasm: Rectum, anus and anal canal (other cancers excluded from controls)",anal neoplasm,Good,EFO_0003835
Benign neoplasm: Rectum (other cancers excluded from controls),benign neoplasm of rectum,Medium,MONDO_0021462
Benign neoplasm: Rectum (other cancers excluded from controls),rectal neoplasm,Medium,MONDO_0002165
Benign neoplasm of major salivary glands,neoplasm of major salivary gland,Medium,MONDO_0021368
Benign neoplasm of major salivary glands,benign neoplasm of salivary gland,Medium,MONDO_0021460
Benign neoplasm of major salivary glands (other cancers excluded from controls),neoplasm of major salivary gland,Medium,MONDO_0021368
Benign neoplasm of major salivary glands (other cancers excluded from controls),benign neoplasm of salivary gland,Medium,MONDO_0021460
Benign neoplasm: other/unspecified salivary gland,Benign Salivary Gland Myoepithelioma,Good,EFO_1000119
Benign neoplasm: other/unspecified salivary gland (other cancers excluded from controls),Benign Salivary Gland Myoepithelioma,Good,EFO_1000119
Benign neoplasm: Sigmoid colon,sigmoid neoplasm,Good,EFO_1001181
Benign neoplasm: Sigmoid colon (other cancers excluded from controls),sigmoid neoplasm,Good,EFO_1001181
Other benign neoplasms of skin,benign neoplasm of skin,Medium,MONDO_0021440
Other benign neoplasms of skin,benign neoplasm of cerebellum,Medium,MONDO_0021499
Benign neoplasm: Skin of ear and external auricular canal,cholesteatoma of external ear,Good,EFO_1000677
Benign neoplasm: Skin of ear and external auricular canal (other cancers excluded from controls),external ear,Medium,UBERON_0001691
Benign neoplasm: Skin of ear and external auricular canal (other cancers excluded from controls),Stenosis of the external auditory canal,Medium,HP_0000402
Other benign neoplasms of skin (other cancers excluded from controls),benign neoplasm of skin,Medium,MONDO_0021440
Other benign neoplasms of skin (other cancers excluded from controls),benign neoplasm of cerebellum,Medium,MONDO_0021499
"Benign neoplasm: Skin of eyelid, including canthus",benign tumor of palpebral epidermis,Medium,MONDO_0020173
"Benign neoplasm: Skin of eyelid, including canthus",benign eyelid neoplasm,Medium,MONDO_0021605
"Benign neoplasm: Skin of eyelid, including canthus (other cancers excluded from controls)",benign tumor of palpebral epidermis,Medium,MONDO_0020173
"Benign neoplasm: Skin of eyelid, including canthus (other cancers excluded from controls)",benign eyelid neoplasm,Medium,MONDO_0021605
Benign neoplasm: Skin of other and unspecified parts of face,cutaneous melanoma,Medium,EFO_0000389
