	term	label	source	quality	action
Non-small cell lung cancer (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003060	non-small cell lung carcinoma	OLS API EFO lookup	fuzzy	check if valid
Secondary and unspecified malignant neoplasm of lymph nodes	http://www.ebi.ac.uk/efo/EFO_0004906	Secondary and unspecified malignant neoplasm of lymph nodes	Zooma API lookup	match	
Secondary and unspecified malignant neoplasm of lymph nodes (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1001175	secondary Parkinson disease	OLS API EFO lookup	fuzzy	check if valid
malignant neoplasm of male genital organs	http://www.ebi.ac.uk/efo/EFO_0007355	male reproductive organ cancer	EFO OBO	match	
malignant neoplasm of male genital organs (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0007355	male reproductive organ cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant melanoma of skin	http://www.ebi.ac.uk/efo/EFO_0000389	cutaneous melanoma	EFO OBO	match	
Malignant melanoma of skin (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of meninges	http://purl.obolibrary.org/obo/MONDO_0021322	malignant tumor of meninges	EFO OBO	match	
Malignant neoplasm of meninges (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0021322	malignant tumor of meninges	OLS API EFO lookup	fuzzy	check if valid
Mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	mesothelioma	EFO OBO	match	
Mesothelioma (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0000588	mesothelioma	OLS API EFO lookup	fuzzy	check if valid
Melignant neoplasm of mesothelium and soft tissue					
Melignant neoplasm of mesothelium and soft tissue (all cancers excluded)					
Non-small cell lung cancer, adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005288	non-small cell lung adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Non-small cell lung cancer, adenocarcinoma (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0005288	non-small cell lung adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Non-small cell lung cancer, squamous	http://purl.obolibrary.org/obo/MONDO_0056806	non-small cell squamous lung carcinoma	OLS API EFO lookup	fuzzy	check if valid
Non-small cell lung cancer, squamous (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0056806	non-small cell squamous lung carcinoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of oesophagus	http://www.ebi.ac.uk/efo/EFO_0002916	Malignant neoplasm of oesophagus	Zooma API lookup	match	
Malignant neoplasm of oesophagus (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1000359	Malignant Pancreatic Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Other malignant neoplasms of skin (=non-melanoma skin cancer)	http://purl.obolibrary.org/obo/MONDO_0002898	skin cancer	OLS API EFO lookup	fuzzy	check if valid
Other malignant neoplasms of skin (=non-melanoma skin cancer) (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0002898	skin cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of ovary	http://purl.obolibrary.org/obo/MONDO_0008170	ovarian cancer	EFO OBO	match	
Malignant neoplasm of ovary (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003893	ovarian neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of pancreas	http://www.ebi.ac.uk/efo/EFO_1000359	Malignant Pancreatic Neoplasm	EFO OBO	match	
Malignant neoplasm of pancreas (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0002116	malignant exocrine pancreas neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of prostate	http://purl.obolibrary.org/obo/MONDO_0008315	prostate cancer	EFO OBO	match	
Malignant neoplasm of prostate (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0000673	prostate adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of rectosigmoid junction	http://www.ebi.ac.uk/efo/EFO_1000657	Malignant neoplasm of rectosigmoid junction	Zooma API lookup	match	
Malignant neoplasm of rectosigmoid junction (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0002423	rectosigmoid junction neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of rectum	http://www.ebi.ac.uk/efo/EFO_1000657	rectum cancer	EFO OBO	match	
Malignant neoplasm of rectum (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1000657	rectum cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of respiratory system and intrathoracic organs					
Malignant neoplasm of respiratory system and intrathoracic organs (all cancers excluded)					
Small cell lung cancer	http://www.ebi.ac.uk/efo/EFO_0000702	small cell lung carcinoma	EFO OBO	match	
Small cell lung cancer (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0000702	small cell lung carcinoma	OLS API EFO lookup	fuzzy	check if valid
Secondary malignant neoplasm of other and unspecified sites	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Secondary malignant neoplasm of other and unspecified sites (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm, without specification of site	http://www.ebi.ac.uk/efo/EFO_0000311	Malignant neoplasm without specification of site	Zooma API lookup	match	
Malignant neoplasm, without specification of site (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1000362	Malignant Pleural Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of skin	http://purl.obolibrary.org/obo/MONDO_0002898	skin cancer	EFO OBO	match	
Malignant neoplasm of skin (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0004198	skin neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of small intestine	http://purl.obolibrary.org/obo/MONDO_0000956	small intestine cancer	EFO OBO	match	
Malignant neoplasm of small intestine (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0004251	small intestine neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system					
Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system (all cancers excluded)					
Malignant neoplasm of stomach	http://purl.obolibrary.org/obo/MONDO_0001056	gastric cancer	EFO OBO	match	
Malignant neoplasm of stomach (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003897	stomach neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of testis	http://www.ebi.ac.uk/efo/EFO_0005088	testicular carcinoma	EFO OBO	match	
Malignant neoplasm of testis (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0005088	testicular carcinoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of thyroid gland	http://purl.obolibrary.org/obo/MONDO_0002108	thyroid cancer	EFO OBO	match	
Malignant neoplasm of thyroid gland (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003841	thyroid neoplasm	OLS API EFO lookup	fuzzy	check if valid
Secondary uncertain malignant neoplasm	http://www.ebi.ac.uk/efo/EFO_0009812	secondary malignant neoplasm	OLS API EFO lookup	fuzzy	check if valid
Secondary uncertain malignant neoplasm (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0009812	secondary malignant neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of urinary organs	http://www.ebi.ac.uk/efo/EFO_1000363	Malignant Urinary System Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of urinary organs (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1000363	Malignant Urinary System Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of vulva	http://purl.obolibrary.org/obo/MONDO_0001528	vulva cancer	EFO OBO	match	
Malignant neoplasm of vulva (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0001528	vulva cancer	OLS API EFO lookup	fuzzy	check if valid
Campylobacter enteritis	http://purl.obolibrary.org/obo/MONDO_0043579	enteritis	OLS API EFO lookup	fuzzy	check if valid
Cardiac arrhytmias	http://www.ebi.ac.uk/efo/EFO_1000150	Cardiac Rhabdomyoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasms	http://www.ebi.ac.uk/efo/EFO_0002422	benign neoplasm	OLS API EFO lookup	match	
Benign neoplasm: Adrenal gland	http://purl.obolibrary.org/obo/MONDO_0021511	benign neoplasm of adrenal gland	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Adrenal gland (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0021511	benign neoplasm of adrenal gland	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Anus and anal canal	http://www.ebi.ac.uk/efo/EFO_0003835	anal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Anus and anal canal (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003835	anal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Appendix	http://www.ebi.ac.uk/efo/EFO_0003880	appendiceal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Appendix (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003880	appendiceal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Ascending colon	http://purl.obolibrary.org/obo/MONDO_0002278	benign colon neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Ascending colon (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0002278	benign colon neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Bladder	http://purl.obolibrary.org/obo/MONDO_0004180	benign urinary system neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Bladder (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0004180	benign urinary system neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of bone and articular cartilage	http://www.ebi.ac.uk/efo/EFO_0003820	Benign neoplasm of bone and articular cartilage	Zooma API lookup	match	
Benign neoplasm of bone and articular cartilage (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0000631	bone benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Bone and articular cartilage, unspecified	http://purl.obolibrary.org/obo/MONDO_0000631	bone benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Bone and articular cartilage, unspecified (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0000631	bone benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Long bones of lower limb	http://purl.obolibrary.org/obo/MONDO_0000952	cancer of long bone of lower limb	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Long bones of lower limb (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0000952	cancer of long bone of lower limb	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Scapula and long bones of upper limb					
Benign neoplasm: Scapula and long bones of upper limb (all cancers excluded)					
Benign neoplasm: Short bones of lower limb	http://purl.obolibrary.org/obo/MONDO_0000952	cancer of long bone of lower limb	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Short bones of lower limb (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0000952	cancer of long bone of lower limb	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Short bones of upper limb	http://purl.obolibrary.org/obo/HP_0009824	Upper limb undergrowth	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Short bones of upper limb (all cancers excluded)	http://purl.obolibrary.org/obo/HP_0009824	Upper limb undergrowth	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Bones of skull and face	http://purl.obolibrary.org/obo/MONDO_0007145	aplasia cutis congenita (disease)	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Bones of skull and face (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0007145	aplasia cutis congenita (disease)	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of brain and other parts of central nervous system	http://www.ebi.ac.uk/efo/EFO_1000107	Benign neoplasm of brain and other parts of central nervous system	Zooma API lookup	match	
Benign neoplasm of brain and other parts of central nervous system (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0007199	central nervous system tuberculosis	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Brain, unspecified	http://www.ebi.ac.uk/efo/EFO_1000107	Benign Brain Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Brain, unspecified (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1000107	Benign Brain Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Brain, supratentorial	http://www.ebi.ac.uk/efo/EFO_1000107	Benign Brain Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Brain, supratentorial (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1000107	Benign Brain Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of breast	http://purl.obolibrary.org/obo/MONDO_0000620	breast benign neoplasm	EFO OBO	match	
Benign neoplasm of breast (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0000620	breast benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Bronchus and lung	http://purl.obolibrary.org/obo/MONDO_0001672	bronchus cancer	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Bronchus and lung (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0001672	bronchus cancer	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Caecum	http://www.ebi.ac.uk/efo/EFO_0009255	cecal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Caecum (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0009255	cecal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Choroid	http://purl.obolibrary.org/obo/MONDO_0021487	benign neoplasm of choroid	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Choroid (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0021487	benign neoplasm of choroid	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Colon	http://purl.obolibrary.org/obo/MONDO_0002278	benign colon neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Colon (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0002278	benign colon neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Colon, unspecified	http://purl.obolibrary.org/obo/MONDO_0002278	benign colon neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Colon, unspecified (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0002278	benign colon neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of colon, rectum, anus and anal canal	http://www.ebi.ac.uk/efo/EFO_0003835	"""Benign neoplasm of colon, rectum, anus and anal canal"""	Zooma API lookup	match	
Benign neoplasm of colon, rectum, anus and anal canal (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003835	anal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Conjunctiva	http://www.ebi.ac.uk/efo/EFO_1000110	Benign Conjunctival Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Conjunctiva (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1000110	Benign Conjunctival Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Other benign neoplasms of connective and other soft tissue	http://www.ebi.ac.uk/efo/EFO_1000541	Other benign neoplasms of connective and other soft tissue	Zooma API lookup	match	
Other benign neoplasms of connective and other soft tissue (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Connective and other soft tissue of head, face and neck					
Benign neoplasm: Connective and other soft tissue of head, face and neck (all cancers excluded)					
Benign neoplasm: Connective and other soft tissue of lower limb, including hip	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Connective and other soft tissue of lower limb, including hip (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Connective and other soft tissue, unspecified	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Connective and other soft tissue, unspecified (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Connective and other soft tissue of trunk, unspecified	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Connective and other soft tissue of trunk, unspecified (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Other benign neoplasm of uterus: Corpus uteri	http://purl.obolibrary.org/obo/MONDO_0021525	benign neoplasm of corpus uteri	OLS API EFO lookup	fuzzy	check if valid
Other benign neoplasm of uterus: Corpus uteri (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0021525	benign neoplasm of corpus uteri	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Cranial nerves	http://www.ebi.ac.uk/efo/EFO_0002431	tumour of cranial and spinal nerves	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Cranial nerves (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0002431	tumour of cranial and spinal nerves	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Descending colon	http://purl.obolibrary.org/obo/MONDO_0002278	benign colon neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Descending colon (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0002278	benign colon neoplasm	OLS API EFO lookup	fuzzy	check if valid
