AB1_AMOEBIASIS	Amoebiasis
K11_JAWS	Other diseases of jaws
K11_KELACROHN	"Crohn's disease patients in KELA-register (KELA code 209, or 208 with ICD K50)"
K11_KELAIBD	IBD patients in KELA-register
K11_KELAUC	"UC patients in KELA-register ( KELA 208 prior to 1994, or ICD K51)"
K11_KELAUC1	"UC patients in KELA-register (code 208), prior to 1994"
K11_LIP_ORAL_MUCOSA	Other diseases of lip and oral mucosa
K11_LIVER	Diseases of liver
K11_MAJOR_ANOMALI_JAW_SIZE	Major anomalies of jaw size
K11_MALABSORB	Intestinal malabsorbtion
K11_MANDIBULAR_MOLAR_FAILED_ERUPT_OBSTRUCTION_TOOTH	Mandibular molar that has failed to erupt because of obstruction by another tooth
K11_MAXIL_MOLAR_FAILED_ERUPT_OBSTRUCTION_TOOTH	Maxillary molar that has failed to erupt because of obstruction by another tooth
K11_MN_PROGN_AND_SURGRT	Mandibular prognathia AND surgery (LeFortI or BSSO or LeFortI AND BSSO)
K11_MN_RERTGN_AND_SURG	Mandibular retrognathia AND surgery (BSSO)
K11_OESITIS	Oesophagitis
K11_OESOBST	Oesophageal obstruction
K11_OESSTODUO	"Diseases of oesophagus, stomach and duodenum"
K11_OESULC	Ulcer of oesophagus
K11_OPEN_BITE	Open bite
K11_ORAL	"Diseases of oral cavity, salivary glands and jaws"
K11_ORALCYST	"Cysts of oral region, not elsewhere classified"
K11_OTHABDHER	Other and unspecified abdominal hernia
K11_OTHANRECT	Other diseases of anus and rectum
K11_OTHAPPEND	Other diseases of appendix
K11_OTHDIG	Other diseases of the digestive system
K11_OTHDISDIG	Other diseases of the digestive system
K11_OTHDISOES	Other diseases of oesophagus
K11_OTHDISSTOMDUOD	Other diseases of stomach and duodenum
K11_OTHENTERCOL	Other noninfective gastroenteritis and colitis
K11_OTHFUNC	Other functional intestinal disroders
K11_OTHGASTR	Other gastritis (incl. Duodenitis)
K11_OTHILEUS	"Other or unspecified ileus, impaction or obstruction"
K11_OTHINFLIV	Other inflammatory liver diseases
K11_OTHINT	Other diseases of intestine
K11_OTHPERITON	Other diseases of peritoneum
K11_OVERJET	Overjet
K11_PANCOTH	Other diseases of pancreas
K11_PARALIL	Paralytic ileus
K11_PERIODON_ACUTE	Acute periodontitis
K11_PERIODON_CHRON	Chronic periodontitis
K11_PERITON	Diseases of peritoneum
K11_PERITONITIS	Acute peritonitis
K11_POSTOPDIS	"Postprocedural disorders of digestive system, not elsewhere classified"
K11_PSC_COLITIS	"Colitis, primary sclerosing"
K11_PSC_COLITIS_STRICT	"Colitis, primary sclerosing, strict definition"
K11_PULC	Peptic ulcer
K11_PULP_PERIAPICAL	Diseases of pulp and periapical tissues
K11_REFLUX	Gastro-oesophageal reflux disease
K11_REIMB_202	KELA_REIMBURSEMENT_202
K11_RETROG_MAXILLAE	Maxillary retrognathism
K11_SALIVARY	Diseases of salivary glands
K11_STOMATITIS	Stomatitis and related lesions
K11_STRICTURE	Intestinal stricture
K11_TEETH_HARD	Other diseases of hard tissues of teeth
K11_TONGUE	Diseases of tongue
K11_TOOTH_DEV	Disorders of tooth development and eruption
K11_TOXLIV	Toxic liver disease
K11_UC_NOCD	"Ulcerative colitis (strict definition, all Crohn cases excluded)"
K11_UC_STRICT	"Ulcerative colitis (strict definition, require KELA)"
K11_UC_STRICT2	"Ulcerative colitis (strict definition, require KELA, min 2 HDR)"
K11_UC_STRICT_PSC	Ulcerative colitis (strict) with PSC
K11_ULCER	Ulcerative colitis
K11_UMBHER	Umbilical hernia
K11_VASCINT	Vascular disorders of the intestines
K11_VENTHER	Ventral hernia
K11_VOLVU	Volvulus
KELA_DIAB_INSUL	"Diabetes, insuline treatment (Kela reimbursement)"
KELA_DIAB_INSUL_EXMORE	"Diabetes, insuline treatment (Kela reimbursement)" (more controls excluded)
KNEE_ARTHROSIS	Gonarthrosis [arthrosis of knee](FG)
KRA_PSY_ALCOH	"Alcohol abuse, main dg"
KRA_PSY_ALCOH_EXMORE	"Alcohol abuse, main dg" (more controls excluded)
KRA_PSY_ANXIETY	Anxiety disorders
KRA_PSY_ANXIETY_EXMORE	Anxiety disorders (more controls excluded)
KRA_PSY_ANYMENTAL	Any mental disorder
KRA_PSY_ANYMENTAL_SUICID_PREG_NERV	"Any mental disorder, or suicide (or attempt), or psychic disorders complicating pregnancy, partum or puerperum or nerve system disorders"
KRA_PSY_AUTISM	Autism spe
KRA_PSY_AUTISM_EXMORE	Autism spe (more controls excluded)
KRA_PSY_BEHAV	Behavioural disorders
KRA_PSY_BEHAV_EXMORE	Behavioural disorders (more controls excluded)
KRA_PSY_CHILDEMOT	Emotional disorders starting during childhood or adolecense
KRA_PSY_CHILDEMOT_EXMORE	Emotional disorders starting during childhood or adolecense (more controls excluded)
KRA_PSY_CHILDSOC	Social disorders starting during childhood or adolecense
KRA_PSY_CHILDSOC_EXMORE	Social disorders starting during childhood or adolecense (more controls excluded)
KRA_PSY_CODUCTEMOT	Mixed disorders of conduct and emotions
KRA_PSY_CODUCTEMOT_EXMORE	Mixed disorders of conduct and emotions (more controls excluded)
KRA_PSY_DEMENTIA	Any dementia
KRA_PSY_DEMENTIA_EXMORE	Any dementia (more controls excluded)
KRA_PSY_DEVWIDE	Wide developmental disorders
KRA_PSY_DEVWIDE_EXMORE	Wide developmental disorders (more controls excluded)
KRA_PSY_EATING	KRA_PSY_EATING
KRA_PSY_EATING_EXMORE	KRA_PSY_EATING (more controls excluded)
KRA_PSY_HYPERKIN	Hyperkinetic disorders
KRA_PSY_HYPERKIN_EXMORE	Hyperkinetic disorders (more controls excluded)
KRA_PSY_MENTALRET	Mental retardation
KRA_PSY_MENTALRET_EXMORE	Mental retardation (more controls excluded)
KRA_PSY_MOOD	Mood disorders
KRA_PSY_MOOD_EXMORE	Mood disorders (more controls excluded)
KRA_PSY_MOTOR	Motor disorders
KRA_PSY_MOTOR_EXMORE	Motor disorders (more controls excluded)
KRA_PSY_PERSON	Personality disorders
KRA_PSY_PERSON_EXMORE	Personality disorders (more controls excluded)
KRA_PSY_PUERPER	"Mental and behabioural disorders of puerperum, not classified elsewhere"
KRA_PSY_PUERPER_EXMORE	"Mental and behabioural disorders of puerperum, not classified elsewhere" (more controls excluded)
KRA_PSY_SCHIZODEL	Schizophrenia or delusion
KRA_PSY_SCHIZODEL_EXMORE	Schizophrenia or delusion (more controls excluded)
KRA_PSY_SLEEP_NONORG	Nonorganic sleeping disorders
KRA_PSY_SLEEP_NONORG_EXMORE	Nonorganic sleeping disorders (more controls excluded)
KRA_PSY_SPEELING	Speech and linguistic disorders
KRA_PSY_SPEELING_EXMORE	Speech and linguistic disorders (more controls excluded)
KRA_PSY_SUBSTANCE	Substance abuse
KRA_PSY_SUBSTANCE_EXMORE	Substance abuse (more controls excluded)
KRA_PSY_TIC	Tic disorders
KRA_PSY_TIC_EXMORE	Tic disorders (more controls excluded)
L12_ABSCESS_CUT	"Cutaneous abscess, furuncle and carbuncle"
L12_ACNE	Acne
L12_ACNE_NAS	Other  and unspecified acne
L12_ACNE_VULGARIS	Acne vulgaris
L12_ACTINKERA	Actinic keratosis
L12_ALLERGICCONTACT	Alergic contact dermatitis
L12_ALOPECANDRO	Androgenic alopecia
L12_ALOPECAREATA	Alopecia areata
L12_ATOPIC	Atopic dermatitis
L12_ATROPHICSKIN	Atrophic disorders of skin
L12_BULLOTH	Other bullous disorders
L12_BULLOUS	Bullous disorders
L12_CELLULITIS	Cellulitis
L12_CHRONICULCEROFSKIN	"Chronic ulcer of skin, not elsewhere classified"
L12_CORNSANDCALLOS	Corns and callosities
L12_CUTLAXSEN	Cutis laxa senilis
L12_DECUBITANSULCERANDPRESSURE	Decubitus ulcer and pressure area
L12_DERMATHERP	Dermatitis herpetiformis
L12_DERMATITISECZEMA	Dermatitis and eczema
L12_DERMATITISNAS	Other and unspecified dermatitis
L12_DERM_NAS	Other and unspecified dermatitis
L12_DERM_NUMMULAR	Nummular dermatitis
L12_DISORDSKINAPPENDIX	Disorders of skin appendages
L12_DYSHIDROSIS	Dyshidrosis [pompholyx]
L12_EPIDERMALTHICKOTH	Other epidermal thickening
L12_EPIDERMTHICKNAS	Other and unspecified epidermal thickening
L12_ERYTHEMAMULTIF	Erythema multiforme
L12_ERYTHEMANODOSUM	Erythema nodosum
L12_ERYTHEMATOUSOTH	Other erythematous conditions
L12_ERYTHRO_KELA	"Universal eryhrodermia, KELA reimbursement"
L12_ERYTH_NAS	Other and unspecified erythematous conditions
L12_ERYT_INTERTRIG	Erythema intertrigo
L12_EXFOLIATIVE	Exfoliative dermatitis
L12_FACTITIALDERMAT	Factitial dermatitis
L12_FOLICULAROTH	Other follicular disorders
L12_FOLLICULARCYST	Follicular cysts of skin and subcutaneous tissue
L12_FOLLICULARNAS	Other and unspecified follicular disorders
L12_FOODDERMAT	Dermatitis due to ingested food
L12_GRANUANNU	Granuloma annulare
L12_GRANULOMATOUSSKIN	Granulomatous disorders of skin and subcutaneous tissue
L12_HAIRLOSSNONSCAR	Other nonscarring hair loss
L12_HAIRLOSSSCAR	Cicatricial alopecia [scarring hair loss]
L12_HIDRADENITISSUP	Hidradenitis suppurativa
L12_HIRSUTISM	Hirsutism
L12_HYPERTRICHOSIS	Hypertrichosis
L12_HYPERTROPHICSKIN	Hypertrophic disorders of skin
L12_HYPETROPHICSCAR	Hypertrophic scar
L12_IMPETIGO	Impetigo
L12_INFECT_DERM	Infective dermatitis
L12_INFECT_SKIN	Infections of the skin and subcutaneous tissue
L12_INFECT_SKIN_NAS	Other and unspecified local infections of skin and subcutaneous tissue
L12_INFECT_SKIN_OTHER	Other local infections of skin and subcutaneous tissue
L12_INTERNALSUBSTANCEDERM	Dermatitis due to substances taken internally
L12_LICHENPLANUS	Lichen planus
L12_LICHENSCLERATROPH	Lichen sclerosus et atrophicus
L12_LICHENSIMPLEX	Lichen simplex chronicus
L12_LICHSIMPANDPRURIGO	Lichen simplex chronicus and prurigo
L12_LOCALDCONNECTISSUEOTH	Other localized connective tissue disorders
L12_LOCALSCLERODERMA	Localized scleroderma [morphea]
L12_LUPUS	Lupus erythematosus
L12_LYMPHADENITIS	Acute lymphadenitis
L12_NAILDIS	Nail disorders
L12_NAILNAS	Other and unspecified nail disorders
L12_NAIL_DYSTROPHY	Nail dystrophy
L12_NAIL_INGROW	Ingrowing nail
L12_NECROLIPOIDIC	"Necrobiosis lipoidica, not elsewhere classified"
L12_NONIONRADISKIN	Skin changes due to chronic exposure to nonionizing radiation
L12_NONIONRADISKINNAS	Other and unspecified skin changes due to chronic exposure to nonionizing radiation
L12_OTHACUSKINSUN	Other acute skin changes due to ultraviolet radiation
L12_OTHACUSKINSUNNAS	Other and unspecified acute skin changes due to ultraviolet radiation
L12_OTHERBULL	Other and unspecified bullous disorders
L12_OTHERCONTACT	Other contact dermatitis
L12_OTHERDISSKINANDSUBCUTIS	"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
L12_OTHERMELANIN	Other melanin hyperpigmentation
L12_OTHERSKINSUBCUTIS	Other disorders of skin and subcutaneous tissue
L12_OTHPIGMENTATION	Other disorders of pigmentation
L12_PAPULOSQUAMOUS	Papulosquamous disorders
L12_PAPULOSQUAOTH	Other papulosquamous disorders
L12_PARAPSORI	Parapsoriasis
L12_PEMPHIGOID	Pemphigoid
L12_PEMPHIGOID_BULL	Bullous pemphigoid
L12_PERIORALDERM	Perioral dermatitis
L12_PIGMENTNAS	Other and unspecified disorders of pigmentation
L12_PIGPURPDERM	Pigmented purpuric dermatosis
L12_PILONIDALCYST	Pilonidal cyst
L12_PITYROCHEA	Pityriasis rosea
L12_POLYMORPHLIGHTERUPT	Polymorphous light eruption
L12_PRURIGONAS	Other  prurigo
L12_PRURIGONOD	Prurigo nodularis
L12_PRURITUS	Pruritus
L12_PSORIASIS	Psoriasis
L12_PSORI_ARTHRO	Arthropathic psoriasis
L12_PSORI_GUTTATE	Guttate psoriasis
L12_PSORI_NAS	Other and unspecified psoriasis
L12_PSORI_PUSTUPALM	Pustulosis palmaris et plantaris
L12_PSORI_VULG	Psoriasis vulgaris
L12_PYODERMA	Pyoderma
L12_PYOGENGRANUL	Pyogenic granuloma
L12_RADIATIONRELATEDSKIN	Radiation-related disorders of the skin and subcutaneous tissue
L12_ROSACEA	Rosacea
L12_ROSACEANAS	Other and unspcified rosacea
L12_SCARCONDITIONS	Scar conditions and fibrosis of skin
L12_SEBORRHOEIC	Seborrhoeic dermatitis
L12_SEBORRKERAT	Seborrhoeic keratosis
L12_SKIN	Diseases of the skin and subcutaneous tissue
L12_SKINSUBCUTISNAS	Other and unspecified disorders of skin and subcutaneous tissue
L12_STRIAEATROPHICAE	Striae atrophicae
L12_ULCERLOWLIMB	"Ulcer of lower limb, not elsewhere classified"
L12_URTICARIA	Urticaria
L12_URTICARIAERYTHEMA	Urticaria and erythema
L12_URTICA_ALLERG	Allergic urticaria
L12_URTICA_COLDHEAT	Urticaria due to cold and heat
L12_URTICA_DERTMATOG	Dermatographic urticaria
L12_URTICA_IDIOPAT	Idiopathic urticaria
L12_URTICA_NAS	Other and unspecified urticaria
L12_VASCULITISNAS	Other and unspecified vasculitis limited to skin
L12_VASCULITISSKIN	"Vasculitis limited to skin, not elsewhere classified"
L12_VITILIGO	Vitiligo
L12_XEROSCUT	Xerosis cutis
LOCALIZED_SKIN_ERUPT_DRUGS_MEDICAM	Localized skin eruption due to drugs and medicaments
LUNG_CANCER_MESOT	Lung cancer and mesothelioma
LUNG_TRANSPLANTATION	Lung transplantation
M13_ACHILLESTEND	Achilles tendinitis
M13_ADHCAPSULITIS	Adhesive capsulitis of shoulder
M13_ALGONEURO	Alogoneurodystrophy
M13_ANKLEFOOT	Other acquired deformities of ankle and foot
M13_ANKYLOSISJOINT	Ankylosis of joint
M13_ANKYLOSPON	Ankylosing spondylitis
M13_ANKYLOSPON_STRICT	"Ankylosing spondylitis, strict definition"
M13_ARTHINOTH	Arthropathies in other diseases classified elsewhere
M13_ARTHRITISNAS	Ohter specific/unspecified arthritis
M13_ARTHROPATHIES	Arthropathies
M13_ARTHROSIS	Arthrosis
M13_ARTHROSIS_INCLAVO	"Artrosis, including avohilmo"
M13_ARTHROSIS_KNEE	Gonarthrosis
M13_ARTHROSIS_KNEE_PRIM_ICD10	"Gonarthrosis,primary"
M13_ARTHROSIS_KNEE_PRIM_KNEESURG	"Gonarthrosis, primary, with knee surgery"
M13_ARTHROSIS_OTH	Other arthrosis
M13_ARTHROSIS_POLY	Polyarhtrosis
M13_ARTHTROSIS_COX	"Coxarthrosis,"
M13_ARTHTROSIS_COX_PRIM_HIPSURG	"Coxarthrosis, primary, with hip surgery"
M13_ARTHTROSIS_COX_PRIM_ICD10	"Coxarthrosis, primary"
M13_ATLOAXSUBLUX	Atlantoaxial subluxation
M13_BAKERCYST	Synovial cyst of popliteal space [Baker]
M13_BICIPITALTEND	Bicipital tendinitis
M13_BIOMECHLESIO	"Biomechanical lesions, not elsewhere classified"
M13_BONECONTINUITY	Disorders of continuity of bone
M13_BONEDENSOTH	Other disorders of bone density and structure
M13_BONEDISNAS	Other specified/unspecified disorders of  bone/cartilage
M13_BURSCYSTOTH	Other bursal cyst
M13_BURSELBOWOTH	Other bursitis of elbow
M13_BURSITISHIPOTH	Other bursitis of hip
M13_BURSITISKNEEOTH	Other bursitis of knee
M13_BURSITISOTH	"Other bursitis, not elsewhere classified"
M13_BURSOPATHY	Other bursopathies
M13_CALCANSPUR	Calcaneal spur
M13_CALCIFICTEND	Calcific tendinitis of shoulder
M13_CALCTENDINITIS	Calcific tendinitis
M13_CARTILAGE	Other articular cartilage disorders
M13_CERVICALGIA	Cervicalgia
M13_CERVICDISC	Cervical disc disorders
M13_CERVICOBRACHSDR	Cervicobrachial syndrome
M13_CERVICOCRANSDR	Cervicocranial syndrome
M13_CHONDROMALACIA	Chondromalacia
M13_CHRONDROPATHIES	Chrondropathies
M13_CHRONSYNOVITISHANDWRIST	Chronic crepitant synovitis/bursitis of hand and wrist/periarhritis of wrist
M13_CONNECTNAS	Other specified/unspecified systemic involvement of connective tissue
M13_CONTRACTUREJOINT	Contracture of joint
M13_CRYSTALARTH	Other crystal arthropathies
M13_DEFORMACQ	Other acquired deformities of musculoskeletal system and connective tissue
M13_DEFORMDORSO	Deforming dorsopathies
M13_DEFORMDORSONAS	Other specified/unsepecified deforming dorsopathies
M13_DEQUERVAIN	Radial styloid tenosynovitis [de Quervain]
M13_DERMATOPOLY	Dermatopolymyositis
M13_DISCINFECTION	Infection of intervertebral disc (pyogenic)
M13_DISCITIS	"Discitis, unspecified"
M13_DISSYNOTENDNAS	Other specified/unspecified disorders of synovium and tendon +Other specified/unspecified bursopathies
M13_DORSALGIA	Dorsalgia
M13_DORSALGIANAS	Other/unspecified dorsalgia
M13_DORSOPATHY	Dorsopathies
M13_DORSOPATHYNAS	Other specified/unspecified dorsopathies
M13_DORSOPATHYOTH	"Other dorsopathies, not elsewhere classified"
M13_DUPUTRYEN	Palmar fascial fibromatosis [Dupuytren]
M13_ENTEROARTHR	Enteropathic arthropathies
M13_ENTESOPATHYFOOT	Oher enthesopathy of foot (+metatarsalgia)
M13_ENTESOPATHYLOW	"Enthesopathies of lower limb, excluding foot"
M13_ENTESOPATHYLOWNAS	"Other/unspecified enthesopathies of lower limb, excluding foot"
M13_ENTESOPATHYNAS	"Other/unspecified enthesopathies, not elsewhere classified"
M13_ENTESOPATHYOTH	Other enthesopathies
M13_FATPADHYPERTROPHY	Hypertrophy of (infrapatellar) fat pad
M13_FIBROBLASTIC	Fibroblastic disorders
M13_FIBROMYALGIA	Fibromyalgia
M13_FINGERDEFORM	Deformity of finger(s)
M13_FLATFOOT	Flat foot [pes planus] (acquired)
M13_FOREIGNBODY	Residual foreign body in soft tissue
M13_FORESTIER	Ankylosing hyperostosis [Forestier]
M13_GANGLION	Ganglion
M13_GIANTCELL	Giant cell arteritis
M13_GLUTEALTEND	Gluteal tendinitis
M13_GOUT	Gout
M13_HALLUDEFORMOTH	Other deformity of hallux (acquired)
M13_HALLUXRIGIDUS	Hallux rigidus
M13_HALLUXVALGUS	Hallux valgus (acquired)
M13_HAMMERTOE	Other hammer toe(s) (acquired)
M13_HTROMBMICROANG	Thrombotic microangiopathy
M13_HYPERANG	Hypersensitivity angiitis
M13_HYPERMOBILITY	Hypermobility syndrome
M13_ILIOTIBBAND	Iliotibial band syndrome
M13_IMPINGEMENT	Impingement syndrome of shoulder
M13_INFBURSA	Infective bursitis
M13_INTERVERTEB	Other intervertebral disc disorders
M13_JOINTOTH	Other specific joint derangements/joint disorders
M13_JUVEARTH	Other juvenile arthritis
M13_JUVERHEU	Juvenile rheuma
M13_JUVOSTEOCHONRHIP	Juvenile osteochondrosis
M13_KNEEDERANGEMENTS	Internar derangement of knee
M13_KYPHOSIS	Kyphosis
M13_LATERALEPICOND	Lateral epicondylitis
M13_LIMBLENGTH	Unequal limb length (acquired)
M13_LIMBPAIN	Pain in limb
M13_LOOSEJOINT	Loose body in joint
M13_LOWBACKPAIN	Low back pain
M13_LOWBACKPAINORANDSCIATICA	Lower back pain or/and sciatica
M13_MEDIALEPICOND	Medial epicondylitis
M13_MENISCUSDERANGEMENTS	Meniscus derangement
M13_METATARSALGIA	Metatarsalgia
M13_MONOARTHRITIS	"Monoarthritis, not elsewhere classified"
M13_MULTIFIBRO	Multifocal fibrosclerosis
M13_MUSCLE	Disorders of muscles
M13_MUSCLEATROPH	"Muscle wasting and atrophy, not elsewhere classified"
M13_MUSCLEDISNAS	Other specified disorders of muscle
M13_MUSCLESTRAIN	Muscle strain
M13_MUSCULOSKELEOTH	Other disorders of the musculoskeletal system and connective tissue
M13_MUSCULOSKELETAL	Diseases of the musculoskeletal system and connective tissue
M13_MYALGIA	Myalgia
M13_MYOSITIS	Myositis
M13_NECROVASC	Other necrotizing vasculopathies
M13_NECROVASCNAS	Other specified/unspecified necrotizing vasculopathies
M13_NEURALGIA	"Neuralgia and neuritis, unspecified"
M13_OLECRANONBURSITIS	Olecranon bursitis
M13_OSTEOCHONDRO	Osteopathies and chondropathies
M13_OSTEOCHONDROPATHY	Other osteochondropathies
M13_OSTEOMALACIA	Osteomalacia
M13_OSTEOMYELITIS	Osteomyelitis
M13_OSTEONECROSIS	Osteonecrosis
M13_OSTEOPOROSIS	Osteoporosis
M13_OTHCONN	Other systemic involvement of connective tissue
M13_OTHERBONE	Otherdisorders of bone
M13_OTHERJOINT	Other joint disorders
M13_OVERLAP	Other overlap syndromes
M13_OVERUSENAS	"Other/unspecified soft tissue disorders related to use, overuse and pressure"
M13_PALINDROMIC	Palindromic rheumatism
M13_PANNICULITIS	Panniculitis affecting regions of neck and back
M13_PANNICULITISNAS	"Panniculitis, unspecified"
M13_PATELLADISLOCATIO	Recurrent dislocation of patella
M13_PATELLAOTH	Other disorders of patella
M13_PATELLARTEND	Patellar tendinitis
M13_PATHODISLOCATIO	"Pathological/recurrent dislocation and subluxation of joint, not elsewhere classified"
M13_PERONEALTEND	Peroneal tendinitis
M13_PLANTARFASC	Plantar fascial fibromatosis
M13_POLNODOSA	Polyarteritis nodosa
M13_POLYARTERETAL	Polyarteritis nodosa and related conditions
M13_POLYARTHRITIS	"Polyarthritis, unspecified"
M13_POLYARTHROPATHIES	Polyarthropathies
M13_POLYMYALGIA	Polymyalgia rheumatica
M13_POLYMYO	Polymyositis
M13_POSTOPMUSCULOSKE	"Postprocedural musculoskeletal disorders, not elsewhere classified"
M13_PREPATELLARBURSITIS	Prepatellar bursitis
M13_PSORIARTH	Psoriatic arthropathies
M13_PSORIARTH_ICD10	"Psoriatic arthropathies, ICD10"
M13_PYOGARTH	Pyogenic arthritis
M13_RADICULOPATHY	Radiculopathy
M13_REACTARTH	Reactive arthropathies
M13_RECUDISLOCATIO	Recurrent dislocation and subluxation of joint
M13_RHEUMA	Rheumatoid arthritis
M13_RHEUMATISM	"Rheumatism, unspecified"
M13_RHEUMA_INCLAVO	Rheumatoid arthritis
M13_ROTATORCUFF	Rotator cuff syndrome
M13_SACROCOGG	"Sacrococcygeal disorders, not elsewhere classified"
M13_SACROILIITIS	"Sacroiliitis, not elsewhere classified"
M13_SCIATICA	Siatica+with lumbago
M13_SCOLIOSIS	Scoliosis
M13_SHORTACHILLES	Short Achilles tendon (acquired)
M13_SHOULDER	Shoulder lesions
M13_SHOULDERBURSITIS	Bursitis of shoulder
M13_SHOULDERNAS	Other shoulder lesions
M13_SJOGREN	Sicca syndrome [Sjgren]
M13_SLE	Systemic lupus erythematosus
M13_SOFTOVERUSE	"Soft tissue disorders related to use, overuse and pressure"
M13_SOFTTISSUE	Soft tissue disorders
M13_SOFTTISSUENAS	Other specified/unspecified soft tissue disorders
M13_SOFTTISSUEOTH	"Other soft tissue disorders, not elsewhere classified"
M13_SPINALOSTEOCHON	Spinal osteochondrosis
M13_SPINENTHES	Spinal enthesopathy
M13_SPININSTAB	Spinal instabilities
M13_SPINSTENOSIS	Spinal stenosis
M13_SPONDYLINFLAMNAS	Other specified/unspecified inflammatory spondylopathies
M13_SPONDYLOLISTHESIS	Spondylolisthesis/Spondylolysis
M13_SPONDYLOPATHINOTH	Spondylopathies in diseases classified elsewhere
M13_SPONDYLOPATHY	Spondylopathies
M13_SPONDYLOPATHYNAS	Other specified/unspecified spondylopathies
M13_SPONDYLOSIS	Spondylosis
M13_SPONTRUPTSYNOTEND	Spontaneous rupture of synovium and tendon
M13_SYNOHYPERTROPH	"Synovial hypertrophy, not elsewhere classified"
M13_SYNOTEND	Disorders of synovium and tendon
M13_SYNOTENDINOTH	Disorders of synovium and tendon in diseases classified elsewhere
M13_SYSTCONNECT	Systemic connective tissue disorders
M13_SYSTSLCE	Systemic sclerosis
M13_TEMPARTERIT	Temporal arteritis
M13_TENDOSYNOVITISNAS	Other/unspecified synovitis and tenosynovitis
M13_THORACISPINEPAIN	Pain in thoracic spine
M13_TIBIALCOLLATERAL	Tibial collateral bursitis [Pellegrini-Stieda]
M13_TIETZE	Chondrocostal junction syndrome [Tietze]
M13_TOEDEFORMOTH	Other deformities of toe(s)
M13_TORTICOLLIS	Torticollis
M13_TRANSSYNOVITIS	Transient synovitis
M13_TRIGGERFINGER	Trigger finger
M13_TROCHANTERICBURSITIS	Trochanteric bursitis
M13_VALGUS	"Valgus deformity, not elsewhere classified"
M13_VARUS	"Varus deformity, not elsewhere classified"
M13_VERTEBCOLLAPSE	"Collapsed vertebra, not elsewhere classified"
M13_VILLONODULAR	Villonodular synovitis (pigmented)
M13_WEGENER	Wegener granulomatosis
MACULAR_CYST	Macular cyst
MACULAR_HOLE	Macular hole
MACULAR_PUCKER	Macular pucker
MACULA_NAS	Degenerative macular diseases
MEMLOSS	Memory loss
MENINGITIS	Meningitis
MIGRAINE_TRIPTAN	"Migraine, single triptan purchase ok & required. ICD-code if available is included"
MIGRAINE_UNSPE	"Migraine, unspecified, drug-induced"
MND	Motor neuron disease (with DMD)
MUCOPROCT	Mucosal proctocolitis
MULTIMORB	"Multimorbidity, for COPD"
MYCOBLUNGATYPICA	Atypical mycobacterium lung infection
MYELOPROF	Myeloproliferative diseases
MYELOPROF_NONCML	Myeloproliferative diseases (CML excluded)
N14_ABNORMALBLEED	Other abnormal uterine and caginal bleeding
N14_ACUTENEPHRITIC	Acute nephritic syndrome
N14_ACUTERENFAIL	Acute renal failure
N14_AMENORRHEAPRIM	Amenorrhoea
N14_BARTHOABSCESS	Abscess of Bartholin gland
N14_BARTHOCYS	Cyst of Bartholin Gland
N14_BARTHOOTHNAS	Other and unspecified disease of Bartholin gland
N14_BENIGNMAMDYSP	Benign mammary dysplasia
N14_BREAST	Disorders of breast
N14_BREASTDISOTH	Other disorders of breast
N14_CALCUKIDUR	Calculus of kidney and ureter
N14_CALCULOWER	Calculus of lower urinary tract
N14_CHRONEPHROPATH	Chronic nephritic syndrome
N14_CHRONEPHROPATH_ADVERSE	"Chronic nephritic syndrome, drug-induced"
N14_CHRONKIDNEYDIS	Chronic kidney disease
N14_CHRONTUBULOINTNEPHRITIS	Chronic tubulo-interstitial nephritis
N14_COMPLICARTFERT	Complications associated with artificial fertilization
N14_CYSTITIS	Cystitis
N14_CYSTKID	Cyst of kidney
N14_DIALYSIS	Dialysis
N14_DISIMPAIRRENTUB	Disorders resulting from impaired renal tubular function
N14_DYSPLACERVUT	Dysplasia of cervi uteri
N14_ENDOMETRIOSIS	Endometriosis
N14_ENDOMETRIOSIS_FALLOPIAN_TUBE	Endometriosis of fallopian tube
N14_ENDOMETRIOSIS_INTESTINE	Endometriosis of intestine
N14_ENDOMETRIOSIS_NOS	Unspecified/other endometriosis
N14_ENDOMETRIOSIS_OVARY	Endometriosis of ovary
N14_ENDOMETRIOSIS_PELVICPERITONEUM	Endometriosis of pelvic peritoneum
N14_ENDOMETRIOSIS_RECTPVAGSEPT_VAGINA	Endometriosis of rectovaginal septum and vagina
N14_ENDOMETRIOSIS_UTERUS	Endometriosis of uterus
N14_ENDOMET_INFERT	Endometriosis diagnosis and infertility diagnosis occurring together
N14_EROSECTROPUT	Erosion and ectropion of cervix uteri
N14_FEMALEGENINF	Inflammatory diseases of female pelvic organs
N14_FEMALEGENNONINF	Noninflammatory disorders of female genital tract
N14_FEMALEINFERT	Female infertility
N14_FEMGENFISTUL	Fistulae involving female genital tract
N14_FEMGENPAIN	Pain and other conditions associated with female genital organs and menstrual cycle
N14_FEMGENPROL	Female genital prolapse
N14_FIANOV	"Female infertility, associated with anovulation"
N14_FIOTHNAS	"Female infertility, cervigal, vaginal, other or unspecified origin"
N14_FITUB	"Female infertility, tubal origin"
N14_GENITOURINARY	Genitourinary diseases
N14_GENITOUROTH	Other disorders of the genitourinary system
N14_GLOMEINOTH	Glomerular disorders in diseases classified elsewhere
